nodes;n;p;time
1;1600;8;289.549,289.541,289.549,289.541,289.548,289.534,289.548,289.535
1;1600;8;259.901,259.914,259.895,259.913,259.907,259.915,259.901,259.914
1;1600;8;272.785,272.807,272.782,272.803,272.792,272.811,272.786,272.807
1;1600;12;219.195,219.197,219.202,219.199,219.203,219.206,219.215,219.212,219.203,219.201,219.205,219.2
1;1600;12;227.563,227.564,227.564,227.577,227.576,227.581,227.581,227.583,227.562,227.571,227.569,227.584
1;1600;12;218.188,218.193,218.199,218.2,218.196,218.206,218.209,218.209,218.198,218.192,218.201,218.204
1;1600;12;218.906,218.905,218.903,218.902,218.92,218.919,218.916,218.913,218.914,218.91,218.905,218.902
1;1600;12;271.734,271.724,271.743,271.739,271.764,271.75,271.764,271.753,271.74,271.727,271.744,271.74
1;1600;16;155.851,155.878,155.857,155.88,155.849,155.871,155.852,155.874,155.86,155.878,155.86,155.881,155.854,155.877,155.857,155.878
1;1600;16;156.832,156.865,156.832,156.872,156.833,156.869,156.838,156.872,156.836,156.868,156.84,156.873,156.838,156.871,156.841,156.873
1;1600;16;156.114,156.091,156.109,156.085,156.117,156.094,156.112,156.088,156.119,156.093,156.113,156.088,156.119,156.094,156.117,156.093
1;1600;16;157.054,157.032,157.053,157.026,157.054,157.029,157.05,157.021,157.058,157.035,157.055,157.028,157.057,157.028,157.051,157.025
1;1600;16;156.819,156.793,156.825,156.8,156.825,156.8,156.824,156.8,156.818,156.79,156.821,156.796,156.822,156.797,156.824,156.801
1;1600;20;248.337,248.355,248.337,248.339,248.354,248.361,248.346,248.348,248.363,248.378,248.353,248.359,248.35,248.359,248.346,248.35,248.35,248.358,248.332,248.343
1;1600;20;246.209,246.17,246.208,246.174,246.233,246.184,246.221,246.177,246.243,246.204,246.227,246.188,246.229,246.193,246.23,246.187,246.225,246.183,246.208,246.168
1;1600;20;247.3,247.337,247.306,247.348,247.326,247.359,247.342,247.376,247.321,247.368,247.339,247.373,247.325,247.375,247.349,247.373,247.308,247.337,247.315,247.354
1;1600;20;248.285,248.313,248.297,248.318,248.315,248.342,248.312,248.345,248.319,248.336,248.313,248.338,248.323,248.338,248.326,248.343,248.29,248.314,248.296,248.325
1;1600;20;249.826,249.834,249.826,249.822,249.837,249.839,249.83,249.837,249.843,249.838,249.836,249.839,249.835,249.842,249.827,249.832,249.833,249.831,249.822,249.83
1;3200;2;7513.56,7513.56
1;3200;2;7400.31,7400.32
1;3200;2;7497.42,7497.43
1;3200;2;7425.77,7425.78
1;3200;2;7436.61,7436.62
1;3200;4;4838,4838,4838.01,4838
1;3200;4;5743.58,5743.58,5743.58,5743.59
1;3200;4;4242.86,4242.86,4242.86,4242.87
1;3200;4;5774.53,5774.53,5774.54,5774.54
1;3200;4;4884.69,4884.69,4884.7,4884.69
1;3200;8;2505.4,2505.42,2505.41,2505.42,2505.38,2505.42,2505.39,2505.42
1;3200;8;2558.66,2558.68,2558.66,2558.68,2558.67,2558.67,2558.65,2558.68
1;3200;8;2560.19,2560.21,2560.2,2560.2,2560.22,2560.22,2560.2,2560.2
1;3200;8;2529.39,2529.37,2529.39,2529.37,2529.39,2529.39,2529.4,2529.38
1;3200;8;2479.95,2479.96,2479.96,2479.98,2479.96,2479.97,2479.96,2479.96
1;3200;12;2013.56,2013.59,2013.57,2013.6,2013.61,2013.62,2013.6,2013.62,2013.59,2013.61,2013.58,2013.61
1;3200;12;1955.37,1955.39,1955.37,1955.39,1955.4,1955.41,1955.4,1955.43,1955.39,1955.41,1955.39,1955.41
1;3200;12;2000.16,2000.19,2000.2,2000.19,2000.19,2000.19,2000.2,2000.21,2000.19,2000.19,2000.21,2000.21
1;3200;12;2083.79,2083.79,2083.79,2083.79,2083.82,2083.83,2083.84,2083.82,2083.82,2083.81,2083.82,2083.81
1;3200;12;2052.71,2052.73,2052.73,2052.74,2052.74,2052.75,2052.76,2052.74,2052.74,2052.75,2052.74,2052.75
1;3200;16;1470.99,1470.98,1471,1470.99,1471.02,1470.99,1471.02,1471.01,1471.04,1471.02,1471.04,1471.03,1471.05,1471.03,1471.04,1471.03
1;3200;16;1498.36,1498.36,1498.38,1498.36,1498.37,1498.36,1498.39,1498.38,1498.4,1498.38,1498.42,1498.4,1498.41,1498.4,1498.42,1498.4
1;3200;16;1496.79,1496.82,1496.81,1496.83,1496.82,1496.83,1496.83,1496.85,1496.84,1496.85,1496.85,1496.88,1496.85,1496.87,1496.86,1496.87
1;3200;16;1476.77,1476.82,1476.8,1476.83,1476.81,1476.82,1476.81,1476.85,1476.83,1476.86,1476.85,1476.88,1476.85,1476.88,1476.86,1476.88
1;3200;16;1474.8,1474.79,1474.81,1474.81,1474.81,1474.8,1474.84,1474.81,1474.85,1474.83,1474.85,1474.83,1474.86,1474.84,1474.86,1474.83
1;3200;20;2196.9,2196.93,2196.96,2196.93,2196.91,2197.01,2197,2196.97,2196.94,2196.97,2196.97,2196.99,2196.98,2196.98,2196.98,2197,2196.98,2196.99,2196.99,2197.02
1;3200;20;2256.6,2256.67,2256.65,2256.63,2256.65,2256.72,2256.65,2256.71,2256.68,2256.69,2256.7,2256.73,2256.72,2256.69,2256.71,2256.7,2256.7,2256.72,2256.75,2256.69
1;3200;20;2191.86,2191.91,2191.97,2191.98,2191.91,2191.96,2191.91,2191.96,2191.94,2192.01,2191.99,2191.98,2191.95,2191.97,2192,2191.99,2191.96,2191.96,2191.96,2191.99
1;3200;20;2275.01,2275.16,2275.08,2275.11,2275.06,2275.13,2275.08,2275.11,2275.09,2275.17,2275.15,2275.15,2275.13,2275.15,2275.14,2275.19,2275.11,2275.12,2275.1,2275.15
1;3200;20;2285.19,2285.25,2285.27,2285.3,2285.31,2285.21,2285.28,2285.22,2285.24,2285.29,2285.27,2285.28,2285.29,2285.27,2285.32,2285.29,2285.34,2285.27,2285.28,2285.29
2;200;2;10.1946,10.2148
2;200;2;10.0742,10.0811
2;200;2;9.72026,9.7437
2;200;2;9.19153,9.19661
2;200;2;9.96067,9.98507
2;200;4;15.3898,15.3907,15.4294,15.4293
2;200;4;15.6168,15.6176,15.6321,15.6311
2;200;4;15.2975,15.2919,15.309,15.3086
2;200;4;15.2942,15.2931,15.3042,15.3069
2;200;4;15.1144,15.1114,15.1263,15.1272
2;200;8;18.0519,18.0477,18.0469,18.0524,18.0442,18.0466,18.044,18.0494
2;200;8;25.2042,25.2043,25.2046,25.2094,25.2259,25.2273,25.2306,25.2282
2;200;8;25.485,25.4886,25.4847,25.4888,25.5059,25.5013,25.5022,25.5021
2;200;8;17.7985,17.7957,17.801,17.7994,17.808,17.8081,17.8117,17.8087
2;200;8;18.3424,18.3438,18.3444,18.3468,18.3848,18.3878,18.3879,18.3881
2;200;12;25.7906,25.7954,25.7943,25.7895,25.7902,25.7998,25.8122,25.8098,25.8159,25.8033,25.8192,25.8154
2;200;12;26.0391,26.0388,26.0372,26.041,26.0417,26.0392,26.046,26.0497,26.0496,26.0476,26.0494,26.0519
2;200;12;26.3136,26.3132,26.3148,26.3139,26.319,26.3137,26.3267,26.3254,26.3251,26.3268,26.325,26.3241
2;200;12;25.9911,25.9938,25.9922,25.9923,25.9944,25.994,25.9996,26.0006,25.9982,25.9967,25.995,25.9952
2;200;12;23.9111,23.9104,23.9134,23.9097,23.9119,23.9116,23.9445,23.9402,23.9449,23.9419,23.945,23.9424
2;200;16;27.6743,27.671,27.6741,27.6704,27.6747,27.6702,27.6715,27.6752,27.6846,27.6835,27.6844,27.6891,27.6843,27.6851,27.6897,27.695
2;200;16;26.6658,26.6705,26.6738,26.6705,26.6673,26.6655,26.674,26.6707,26.6734,26.6669,26.6709,26.669,26.6718,26.665,26.6734,26.6698
2;200;16;28.3232,28.3212,28.3221,28.328,28.3233,28.3228,28.3234,28.3257,28.3297,28.3234,28.3183,28.3249,28.3384,28.3255,28.3378,28.3233
2;200;16;28.6876,28.6868,28.6888,28.6935,28.695,28.692,28.6794,28.6904,28.7251,28.7207,28.7198,28.7258,28.7229,28.7226,28.7242,28.7253
2;200;16;28.5859,28.5897,28.5855,28.5834,28.5866,28.5842,28.5868,28.586,28.6068,28.6069,28.6017,28.6022,28.6049,28.6037,28.6007,28.6025
2;200;20;26.4955,26.4932,26.5008,26.5023,26.5041,26.498,26.5039,26.5018,26.5044,26.5006,26.4912,26.4901,26.4793,26.4953,26.4966,26.5084,26.4978,26.4759,26.5137,26.5114
2;200;20;27.6147,27.6159,27.6173,27.6154,27.6172,27.6165,27.6186,27.6167,27.6187,27.6173,27.6166,27.6158,27.6221,27.6203,27.6299,27.6255,27.6195,27.6186,27.6324,27.6302
2;200;20;31.277,31.2704,31.2764,31.2816,31.2805,31.2738,31.2745,31.2897,31.2782,31.2762,31.297,31.3007,31.303,31.3019,31.3081,31.3019,31.303,31.3052,31.3068,31.3026
2;200;20;33.9646,33.9667,33.9694,33.9675,33.9758,33.9632,33.9683,33.9676,33.9798,33.9702,33.969,33.9745,33.9715,33.9746,33.9767,33.9747,33.9791,33.9781,33.9759,33.9752
2;200;20;30.0085,30.0104,30.0133,30.0148,30.0189,30.0186,30.0165,30.0133,30.0178,30.0171,30.0193,30.0213,30.0256,30.0303,30.0339,30.0317,30.0263,30.0278,30.0351,30.0364
2;400;2;29.3661,29.3764
2;400;2;28.9693,28.9956
2;400;2;28.6019,28.6053
2;400;2;28.8035,28.8114
2;400;2;29.6911,29.7053
2;400;4;32.5194,32.5195,32.52,32.5206
2;400;4;32.7475,32.7475,32.761,32.7598
2;400;4;32.7215,32.7201,32.7299,32.7304
2;400;4;32.907,32.9026,32.9361,32.9415
2;400;4;32.5256,32.529,32.5371,32.5358
2;400;8;38.4144,38.413,38.4139,38.4174,38.4269,38.4333,38.4299,38.4332
2;400;8;36.2491,36.2518,36.2518,36.2489,36.2528,36.251,36.2554,36.2541
2;400;8;38.3953,38.3954,38.3977,38.3975,38.3998,38.4022,38.4072,38.4057
2;400;8;36.9806,36.984,36.9792,36.9826,36.9854,36.9895,36.9875,36.9881
2;400;8;38.2234,38.2265,38.2283,38.2247,38.2446,38.2429,38.2451,38.2453
2;400;12;45.5781,45.5797,45.5776,45.5774,45.5792,45.5856,45.5825,45.5807,45.5825,45.5893,45.5848,45.5863
2;400;12;46.7496,46.7473,46.7558,46.7501,46.7619,46.7527,46.7798,46.7812,46.7807,46.7816,46.7802,46.7804
2;400;12;43.5498,43.5506,43.5508,43.5514,43.5544,43.5498,43.5633,43.5663,43.5659,43.5592,43.5679,43.5618
2;400;12;47.0392,47.0421,47.041,47.0456,47.0475,47.0419,47.0524,47.0582,47.0577,47.0535,47.0553,47.0581
2;400;12;49.5677,49.5632,49.5636,49.5707,49.5713,49.5581,49.5788,49.5723,49.5823,49.582,49.5805,49.5776
2;400;16;47.0217,47.0333,47.032,47.0299,47.0357,47.0288,47.0216,47.0149,47.0394,47.0394,47.0454,47.0462,47.0433,47.038,47.0431,47.0437
2;400;16;50.3437,50.3582,50.3486,50.3533,50.3458,50.3533,50.3411,50.3538,50.3616,50.3661,50.3591,50.3663,50.3635,50.3688,50.3611,50.3662
2;400;16;53.8244,53.8244,53.8219,53.8221,53.8266,53.8257,53.8267,53.8262,53.8367,53.8422,53.8392,53.8423,53.8375,53.8362,53.8403,53.8382
2;400;16;58.6213,58.6248,58.6228,58.6251,58.6248,58.627,58.6256,58.6223,58.6522,58.6571,58.6565,58.651,58.6566,58.6524,58.6571,58.6529
2;400;16;56.0417,56.0446,56.0405,56.0431,56.046,56.0398,56.041,56.0427,56.0602,56.0608,56.0617,56.0602,56.0664,56.0603,56.0597,56.0616
2;400;20;55.5317,55.5322,55.5313,55.5382,55.5418,55.5352,55.5365,55.5417,55.5413,55.5291,55.5303,55.5309,55.5347,55.5354,55.5358,55.5319,55.5329,55.5349,55.5307,55.5329
2;400;20;54.9776,54.9745,54.9839,54.9801,54.9817,54.979,54.9785,54.9804,54.9797,54.9835,54.989,54.9903,54.9877,54.9918,54.9907,54.9926,54.9935,54.9878,54.9947,54.98
2;400;20;58.5318,58.5258,58.5308,58.5352,58.5377,58.5224,58.53,58.5303,58.5334,58.5324,58.5485,58.5504,58.5598,58.5467,58.5518,58.5546,58.5517,58.5562,58.5525,58.5565
2;400;20;53.8744,53.8872,53.8834,53.8758,53.8749,53.8874,53.8854,53.8754,53.8829,53.8846,53.8921,53.8755,53.8859,53.8985,53.898,53.8986,53.8875,53.8982,53.8979,53.9039
2;400;20;53.1779,53.1712,53.1815,53.1803,53.1746,53.1775,53.1746,53.1758,53.1828,53.1741,53.1748,53.1971,53.1953,53.1956,53.1863,53.1844,53.1991,53.186,53.1917,53.1831
2;800;2;116.599,116.604
2;800;2;114.37,114.408
2;800;2;119.357,119.361
2;800;2;116.477,116.485
2;800;2;117.07,117.079
2;800;4;90.192,90.1912,90.1988,90.2035
2;800;4;88.1119,88.1089,88.1306,88.1339
2;800;4;85.2172,85.2177,85.22,85.2205
2;800;4;84.8803,84.8817,84.9177,84.9124
2;800;4;86.806,86.8044,86.8198,86.8203
2;800;8;124.53,124.527,124.528,124.529,124.541,124.54,124.542,124.542
2;800;8;118.786,118.782,118.782,118.784,118.794,118.796,118.791,118.792
2;800;8;123.139,123.143,123.144,123.141,123.15,123.15,123.15,123.15
2;800;8;128.419,128.42,128.417,128.407,128.422,128.426,128.426,128.429
2;800;8;138.066,138.068,138.066,138.074,138.101,138.098,138.097,138.097
2;800;12;119.039,119.026,119.047,119.043,119.047,119.051,119.068,119.073,119.07,119.071,119.077,119.072
2;800;12;125.099,125.101,125.1,125.105,125.107,125.104,125.106,125.11,125.107,125.113,125.111,125.113
2;800;12;122.836,122.835,122.844,122.853,122.838,122.84,122.873,122.863,122.866,122.859,122.872,122.865
2;800;12;102.698,102.697,102.712,102.7,102.714,102.705,102.715,102.716,102.722,102.72,102.716,102.717
2;800;12;121.542,121.548,121.543,121.548,121.538,121.542,121.551,121.551,121.549,121.552,121.553,121.55
2;800;16;118.934,118.938,118.938,118.937,118.938,118.936,118.935,118.942,118.949,118.952,118.952,118.948,118.952,118.953,118.948,118.947
2;800;16;120.835,120.831,120.836,120.832,120.83,120.832,120.831,120.839,120.875,120.868,120.878,120.871,120.871,120.87,120.872,120.876
2;800;16;117.879,117.874,117.889,117.893,117.89,117.89,117.894,117.879,117.906,117.905,117.908,117.922,117.904,117.909,117.906,117.911
2;800;16;116.636,116.639,116.643,116.635,116.638,116.64,116.645,116.639,116.647,116.646,116.646,116.647,116.649,116.648,116.648,116.645
2;800;16;116.809,116.8,116.806,116.798,116.8,116.806,116.816,116.809,116.825,116.825,116.827,116.826,116.828,116.821,116.828,116.83
2;800;20;134.946,134.941,134.949,134.947,134.951,134.947,134.957,134.954,134.95,134.957,134.958,134.955,134.953,134.952,134.954,134.956,134.956,134.954,134.954,134.958
