nodes;n;p;time
8;800;20;172.524,172.519,172.521,172.835,172.84,172.835,172.55,172.575,172.548,172.827,172.858,172.862,172.54,172.529,172.844,172.863,172.514,172.511,172.84,172.861
8;800;20;177.5,177.52,177.498,177.643,177.661,177.654,177.552,177.553,177.55,177.716,177.725,177.733,177.489,177.479,177.684,177.688,177.525,177.502,177.689,177.69
8;800;20;182.476,182.476,182.474,182.601,182.609,182.598,182.51,182.524,182.51,182.647,182.653,182.662,182.417,182.41,182.618,182.618,182.477,182.462,182.627,182.628
8;800;20;175.67,175.673,175.669,175.765,175.775,175.765,175.702,175.722,175.694,175.814,175.837,175.826,175.646,175.636,175.774,175.797,175.658,175.646,175.79,175.806
8;1600;8;506.973,507.011,507.018,507.053,506.999,507.006,507.017,507.045
8;1600;8;503.756,503.803,503.807,503.83,503.784,503.808,503.799,503.83
8;1600;8;507.958,507.993,507.967,507.978,508.021,508.037,508.01,508.017
8;1600;8;503.565,503.582,503.622,503.646,503.632,503.622,503.66,503.689
8;1600;8;505.807,505.827,505.819,505.825,505.826,505.816,505.815,505.822
8;1600;12;455.434,455.441,454.891,454.891,454.972,454.943,454.867,454.855,455.512,454.895,454.989,454.846
8;1600;12;444.535,444.541,444.019,444.014,444.06,444.04,444.021,444.011,444.633,444.014,444.085,444.01
8;1600;12;458.476,458.483,457.916,457.915,457.987,457.961,458.018,458.023,458.536,457.916,458.004,458.039
8;1600;12;462.933,462.937,462.411,462.427,462.396,462.366,462.473,462.456,463,462.417,462.444,462.45
8;1600;12;447.678,447.687,447.174,447.168,447.243,447.226,447.26,447.26,447.779,447.187,447.256,447.241
8;1600;16;409.19,409.191,409.193,409.193,409.242,409.242,409.24,409.242,409.233,409.237,409.22,409.217,409.246,409.247,409.263,409.263
8;1600;16;412.06,412.061,412.112,412.112,412.085,412.085,412.123,412.124,412.088,412.091,412.117,412.116,412.096,412.105,412.125,412.126
8;1600;16;409.824,409.825,409.861,409.865,409.864,409.864,409.864,409.865,409.865,409.867,409.873,409.874,409.866,409.86,409.89,409.887
8;1600;16;421.518,421.525,421.524,421.527,421.568,421.567,421.574,421.569,421.553,421.552,421.537,421.542,421.579,421.582,421.58,421.581
8;1600;16;414.604,414.605,414.613,414.613,414.618,414.615,414.634,414.634,414.63,414.632,414.604,414.604,414.613,414.613,414.638,414.639
8;1600;20;453.809,453.801,453.804,453.813,453.813,453.803,453.841,453.85,453.85,453.964,453.976,453.974,453.752,453.745,453.858,453.863,453.708,453.694,453.926,453.931
8;1600;20;454.747,454.76,454.76,454.816,454.818,454.813,454.77,454.806,454.767,454.888,454.906,454.907,454.711,454.711,454.872,454.893,454.747,454.742,454.908,454.927
8;1600;20;435.489,435.488,435.488,435.543,435.56,435.552,435.52,435.533,435.509,435.474,435.482,435.489,435.436,435.419,435.555,435.56,435.483,435.478,435.492,435.499
8;1600;20;433.705,433.702,433.698,433.703,433.713,433.704,433.719,433.728,433.719,433.739,433.747,433.756,433.667,433.655,433.76,433.76,433.669,433.661,433.762,433.767
8;1600;20;449.482,449.484,449.487,449.667,449.677,449.662,449.516,449.546,449.506,449.6,449.654,449.632,449.449,449.44,449.673,449.693,449.47,449.457,449.617,449.637
8;3200;8;2505.45,2505.51,2505.44,2505.54,2505.46,2505.55,2505.48,2505.58
8;3200;8;2506.54,2506.71,2506.6,2506.72,2506.57,2506.7,2506.61,2506.72
8;3200;8;2497.3,2497.43,2497.35,2497.42,2497.39,2497.43,2497.39,2497.42
8;3200;8;2506.91,2506.95,2506.97,2506.99,2506.99,2506.95,2507.01,2506.99
8;3200;8;2516.43,2516.52,2516.47,2516.48,2516.55,2516.55,2516.51,2516.55
8;3200;12;2005.92,2005.94,2005.48,2005.47,2005.51,2005.48,2005.53,2005.51,2006,2005.47,2005.53,2005.5
8;3200;12;2014.63,2014.64,2014.15,2014.16,2014.11,2014.09,2014.25,2014.22,2014.74,2014.16,2014.15,2014.22
8;3200;12;2012.6,2012.61,2012.07,2012.07,2012.17,2012.14,2012.17,2012.15,2012.68,2012.08,2012.19,2012.14
8;3200;12;1996.71,1996.73,1996.24,1996.23,1996.19,1996.16,1996.26,1996.23,1996.78,1996.25,1996.2,1996.22
8;3200;12;2009.24,2009.25,2008.73,2008.72,2008.73,2008.71,2008.81,2008.78,2009.34,2008.73,2008.75,2008.78
8;3200;16;1704.12,1704.14,1704.15,1704.15,1704.16,1704.16,1704.17,1704.17,1704.16,1704.16,1704.15,1704.15,1704.17,1704.17,1704.19,1704.19
8;3200;16;1703.59,1703.6,1703.62,1703.62,1703.64,1703.64,1703.67,1703.67,1703.65,1703.65,1703.63,1703.63,1703.63,1703.63,1703.68,1703.68
8;3200;16;1705.16,1705.17,1705.17,1705.18,1705.18,1705.18,1705.21,1705.21,1705.2,1705.2,1705.21,1705.22,1705.19,1705.19,1705.24,1705.25
8;3200;16;1701.59,1701.6,1701.61,1701.61,1701.62,1701.62,1701.63,1701.63,1701.63,1701.63,1701.64,1701.64,1701.62,1701.62,1701.66,1701.66
8;3200;16;1702.97,1702.98,1702.99,1702.99,1703,1703,1702.98,1702.99,1702.99,1702.99,1702.99,1702.99,1703,1703,1702.98,1702.98
8;3200;20;1704.7,1704.7,1704.7,1704.73,1704.74,1704.72,1704.77,1704.78,1704.77,1704.65,1704.66,1704.67,1704.66,1704.66,1704.71,1704.71,1704.72,1704.71,1704.69,1704.7
8;3200;20;1703.41,1703.42,1703.41,1703.43,1703.42,1703.42,1703.44,1703.42,1703.43,1703.44,1703.46,1703.46,1703.37,1703.36,1703.43,1703.43,1703.4,1703.38,1703.43,1703.44
8;3200;20;1686.95,1686.96,1686.96,1687.2,1687.2,1687.2,1686.98,1686.98,1687,1687.22,1687.23,1687.24,1686.96,1686.95,1687.2,1687.2,1686.94,1686.92,1687.19,1687.2
8;3200;20;1711.01,1711.01,1711.02,1711.07,1711.07,1711.05,1711.02,1711.04,1711.02,1711.14,1711.14,1711.14,1711.02,1711.01,1711.11,1711.12,1710.98,1710.97,1711.1,1711.11
8;3200;20;1688,1688,1688,1688.04,1688.02,1688.01,1688,1688.02,1688.01,1688.07,1688.07,1688.07,1687.94,1687.94,1688.02,1688.02,1687.96,1687.96,1688.02,1688.03
